Carimbo de data/hora,Nome completo,Turma (Ex: TM222; BM151; PMQ361 - escrever dessa forma)
2019-03-31 23:50:17,9LLubhn8,TM213
2019-04-02 23:48:06,BbHXEmJi,BM131
2019-04-04 15:56:56,AokZEoL6,BM131
2019-04-04 22:37:35,cH9idNgn,BM131
2019-04-04 22:47:47,QFdNC7O0,QM131
2019-04-04 23:02:19,6xvoQKQi,TM121
2019-04-04 23:34:30,rJpFbFpZ,QM131
2019-04-05 00:20:10,zlPtcWCH,MAM231
2019-04-05 01:24:34,neV4Ux64,TM121
2019-04-05 01:31:35,0nT9wRLq,MAM231
2019-04-05 01:44:13,NHdR65Rm,TM121
2019-04-05 01:54:31,w68tC8K7,AM231
2019-04-05 16:59:47,6Qmzste3,TM121
2019-04-05 21:31:31,rMuQz4We,FM131
2019-04-06 18:21:05,Rviy6IUf,MAM 231
2019-04-07 00:41:30,kO2TUDjd,BM131
2019-04-07 22:30:19,sh8gmRIf,MAM231
2019-04-09 02:27:14,5rmvNWbm,MAM231
2019-04-09 14:53:04,3qpsAo1c,BM131
2019-04-10 00:21:24,Sudqpuoo,BM131
2019-04-10 10:51:52,OYoxE10W,FM131
2019-04-13 09:44:22,Xjq1oaGF,BM131
2019-04-13 12:39:47,7ViF77D9,TM121
2019-04-14 14:30:52,kENxXt7C,MAM231
2019-04-14 15:23:43,gHBlH8Pg,MAM231
2019-04-14 15:38:06,7VF3mlgU,MAM231
2019-04-14 16:48:00,HIUKa2mI,MAM231
2019-04-14 21:12:12,ZnFoXV2z,MAM231
2019-04-15 12:16:45,trjD0uJk,TM122
2019-04-15 16:28:13,JMRHlMEy,TM122
2019-04-15 23:50:34,jutars2P,TM122
2019-04-16 00:19:27,BLou4nmK,TM122
2019-04-16 15:32:17,spqZIyDf,TM121
2019-04-17 19:36:44,5yhEiJHu,TM122
2019-04-24 11:18:41,SkYPZNOw,BM131
2019-04-25 11:54:23,CnguLeZh,AM231
2019-04-30 23:08:17,1wznja2B,TM123
2019-04-30 23:16:07,z9LH8zFu,TM123
2019-05-01 00:05:09,9yqBxSED,MAM231
2019-05-01 00:11:09,ROTHcCjL,Bm131
2019-05-01 14:59:01,yNETMMRx,TM 123
2019-05-02 00:15:13,6QoV9Sxu,FM131
2019-05-03 18:37:12,bwHAHTbB,Qm131
2019-05-05 21:27:36,m99jkWM8,BM131
2019-05-06 12:43:57,De27hMIo,TM122
2019-05-08 23:07:05,jFk6y1Re,FM131
2019-05-08 23:59:46,16WhDt8j,TM122
2019-05-09 11:14:45,gY1mq9ve,AM241
2019-05-10 00:45:25,KTBlj6un,TM122
2019-05-11 11:00:53,l9MpQuWz,MAM231
2019-05-12 01:22:03,P3eQEnjR,TM122
2019-05-16 18:44:12,TOMoTdF3,QM131
2019-05-17 13:19:34,M0UQg1mV,BM131
2019-05-24 00:01:25,BmuYUzAl,TM112
2019-05-24 00:31:43,MzKQ1Jkn,TM112
2019-05-24 00:38:01,ahK4zWaJ,TM112
2019-05-25 14:42:00,YKcI2Wpf,QM131
2019-05-26 18:12:22,FiPxZFK7,BM131
