Carimbo de data/hora,Nome completo,Turma (Ex: TM222; BM151; PMQ361 - escrever dessa forma)
2019-03-31 23:54:19,GjNrK8vE,AM241
2019-04-01 00:51:53,eh7gy8RG,QM151
2019-04-01 09:05:09,gRhXA1jF,Qm141
2019-04-01 23:54:50,DuhryjVN,QM141
2019-04-02 02:07:33,GJgITPlb,QM141
2019-04-02 09:40:05,Z8tGF76o,BM151
2019-04-04 03:51:17,zvmnIvWY,MAM 241
2019-04-04 20:40:57,T2HZ9OfJ,FM141
2019-04-04 20:42:10,ihUddNmD,BM141
2019-04-04 22:03:15,2xwpByUm,BM151
2019-04-04 22:52:58,Ubq1hACb,QM141
2019-04-04 22:56:30,5zaHzk4o,FM141
2019-04-05 01:55:50,9jKlXo5j,FM 141
2019-04-05 10:14:59,tJDhTzXf,QM141
2019-04-05 17:45:14,Mxj5nuKQ,BM151
2019-04-05 19:39:07,Ik1zFeqr,QM151
2019-04-05 22:02:09,a6wr8Ea2,QM141
2019-04-05 22:52:23,IEjcpGvY,FM141
2019-04-07 02:10:08,x1h6bJWA,AM241
2019-04-07 22:10:20,eeFR1Yyq,BM151
2019-04-10 03:35:29,pR6Rkofw,AM241
2019-04-11 00:30:53,v0EwXCTO,Am251
2019-04-11 14:57:43,L0gZDcIJ,MAM251
2019-04-20 14:02:11,3r1AL7Bh,QM151
2019-04-23 16:32:25,smKag56i,QM151
2019-04-24 04:34:41,Cd9QdYE5,QM151
2019-04-24 17:23:07,eFCXgjvn,QM151
2019-04-24 20:58:28,cs0qaaO8,QM141
2019-04-26 15:58:19,a80MAdDQ,QM151
2019-04-29 22:09:58,ZED4bBJy,FM151
2019-04-29 22:46:03,xrwmvDLy,FM151
2019-04-30 02:03:23,wiWx5LHP,AM241
2019-05-01 00:07:57,zb4qtLrX,AM251
2019-05-01 15:43:25,Uuv2I7JP,QM151
2019-05-01 22:48:50,5zgZoswG,BM141
2019-05-02 11:53:51,8sTiGUSp,MAM 241
2019-05-02 13:45:07,cODPGN2h,BM 151
2019-05-02 13:46:28,dsHEPK8i,BM151
2019-05-02 15:59:53,1oWxBZaK,FM-141
2019-05-02 16:45:24,nEghtnu1,AM241
2019-05-03 16:17:09,XccsmLsl,MAM251
2019-05-03 16:17:53,kCMPtU3j,MAM251
2019-05-04 01:28:20,W4he2Dj8,MAM241
2019-05-04 01:29:19,YLw0N7vD,FM151
2019-05-04 01:34:14,VgZggLSb,MAM241
2019-05-04 02:48:50,buIm8TpR,AM241
2019-05-04 03:00:40,zjLWx43h,AM241
2019-05-05 18:10:37,9j2jHujn,FM151
2019-05-09 11:13:13,c8LLoCGa,AM241
2019-05-09 20:13:34,xBfgg3WW,AM241
2019-05-10 08:43:56,1w3kBvSh,AM251
2019-05-11 10:20:09,ABjOdswS,QM 151
2019-05-11 10:23:00,wci7sDuh,QM151
2019-05-11 23:09:43,tMJrqu19,QM151
2019-05-22 11:24:51,n8gfBGX6,AM241
2019-05-23 22:13:31,rShWZbFI,QM141
2019-05-23 23:50:18,BmyVnJNz,BM151
2019-05-24 14:54:54,ALs8P3kt,AM251
2019-05-24 21:50:50,kC82KOOd,AM251
2019-05-25 23:39:45,Ti3y5Tu0,QM141
2019-05-26 15:25:56,DkR9oilw,FM151
2019-05-26 15:26:53,6yB1yvuQ,FM151
2019-05-26 18:10:50,PeUGtQtd,QM131
2019-05-27 10:00:40,QRy6skyt,BM151
2019-05-27 10:02:07,TYTdUtNA,BM151
